NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
2,3,2,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,25,1,0,0,0,1,1,1,1
4,3,4,79,0,0,0,0,0,0,1,0,0,12,0,0,,0,18,24,36,0,0,1,1,1,1
3,4,5,73,1,1,0,0,2,0,0,0,0,0,0,0,,0,25,48,0,0,0,1,1,1,1
2,3,2,47,1,1,0,0,0,0,0,0,0,0,0,0,,0,34,13,0,0,0,1,1,1,1
12,13,4,145,1,1,0,0,0,0,0,0,0,30,0,1,,0,104,41,0,0,0,1,1,1,1
2,3,5,66,1,1,0,0,0,0,1,0,0,0,0,0,,0,19,33,13,0,0,1,1,1,1
3,3,6,110,1,0,1,0,3,0,2,1,0,1,0,0,,0,10,33,66,0,0,1,1,1,1
2,3,3,19,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,8,0,0,0,1,1,1,1
2,3,4,47,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,30,0,0,0,1,1,1,1
1,2,6,57,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,39,0,0,1,1,1,1,1
3,4,5,60,0,0,0,0,0,0,1,0,0,0,0,0,,0,26,26,7,0,0,1,1,1,1
1,2,5,38,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,26,0,0,0,1,1,1,1
7,8,5,70,0,0,0,0,0,0,0,0,0,19,0,0,,0,15,55,0,0,0,1,1,1,1
1,2,2,21,0,0,0,0,0,0,0,0,0,2,0,0,,0,12,9,0,0,0,1,1,1,1
3,4,5,48,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,36,0,0,0,1,1,1,1
3,4,2,35,0,0,0,0,0,0,0,0,0,5,0,0,,0,25,10,0,0,0,1,1,1,1
3,4,2,29,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,10,0,0,0,1,1,1,1
5,6,5,51,3,3,0,0,0,0,0,0,0,9,0,0,,0,12,39,0,0,0,1,1,1,1
1,2,4,76,1,1,0,0,0,0,0,0,0,21,0,1,,0,27,49,0,0,0,1,1,1,1
1,2,4,32,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,15,0,0,0,1,1,1,1
3,4,5,59,0,0,0,0,1,0,0,0,0,0,0,0,,0,21,38,0,0,0,1,1,1,1
1,2,2,51,0,0,0,0,0,0,0,0,0,23,0,1,,0,18,33,0,0,0,1,1,1,1
2,3,6,107,2,1,0,0,3,0,1,0,0,1,0,0,,0,21,45,40,0,0,1,1,1,1
3,4,3,53,0,0,0,0,0,0,0,0,0,30,0,1,,0,13,40,0,0,0,1,1,1,1
1,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,1,0,0,0,1,1,1,1
3,4,2,22,0,0,0,0,0,0,0,0,0,0,0,0,,0,21,1,0,0,0,1,1,1,1
2,3,6,73,1,1,0,0,1,0,0,0,0,0,0,0,,0,21,52,0,0,0,1,1,1,1
4,5,3,29,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,12,0,0,0,1,1,1,1
5,5,3,62,0,0,1,0,0,0,0,0,0,5,0,0,,0,21,27,13,0,0,1,1,1,1
4,5,2,25,0,0,0,0,0,0,0,0,0,12,0,0,,0,14,11,0,0,0,1,1,1,1
1,2,2,71,0,0,0,0,1,0,2,1,0,18,0,1,,0,12,1,57,0,0,1,1,1,1
2,3,5,34,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,14,0,0,0,1,1,1,1
1,2,2,13,0,0,0,0,0,0,0,0,0,2,0,0,,0,6,7,0,0,1,1,1,1,1
1,2,2,22,1,1,0,0,0,0,0,0,0,1,0,0,,0,12,10,0,0,0,1,1,1,1
4,2,3,99,0,0,0,0,0,0,2,2,0,1,0,0,,0,11,5,82,0,0,1,1,1,1
1,2,2,36,0,0,0,0,0,0,0,0,0,1,0,0,,0,26,10,0,0,0,1,1,1,1
1,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,7,0,0,1,1,1,1,1
3,4,2,150,1,0,0,0,2,0,3,2,0,11,0,0,,0,32,6,111,0,0,1,1,1,1
4,5,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,0,24,1,0,0,0,1,1,1,1
6,4,2,107,0,0,0,0,0,0,2,2,0,1,0,0,,0,14,10,82,0,1,1,1,1,1
3,4,4,82,0,0,0,0,0,0,0,0,0,20,0,1,,0,22,60,0,0,0,1,1,1,1
4,5,4,83,0,0,0,0,0,0,1,0,0,10,0,0,,0,27,45,10,0,0,1,1,1,1
3,4,4,32,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,20,0,0,0,1,1,1,1
3,4,4,48,1,1,0,0,0,0,0,0,0,14,0,0,,0,21,27,0,0,0,1,1,1,1
2,3,5,62,0,0,0,0,1,0,0,0,0,0,0,0,,0,12,50,0,0,1,1,1,1,1
1,2,2,14,0,0,0,0,0,0,0,0,0,2,0,0,,0,7,7,0,0,0,1,1,1,1
3,4,1,17,0,0,0,0,0,0,0,0,0,13,0,0,,0,17,18,0,0,0,1,1,1,1
1,2,4,42,0,0,0,0,0,0,0,0,0,24,0,0,,0,15,27,0,0,0,1,1,1,1
2,3,7,72,0,0,0,0,0,0,0,0,0,27,0,1,,0,14,58,0,0,0,1,1,1,1
2,3,4,28,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,19,0,0,0,1,1,1,1
3,4,8,226,1,1,0,0,1,0,3,13,0,11,0,0,,0,11,52,162,0,0,1,1,1,1
4,5,2,23,0,0,0,0,0,0,0,0,0,13,0,0,,0,14,9,0,0,0,1,1,1,1
3,4,4,35,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,23,0,0,0,1,1,1,1
2,3,2,16,0,0,0,0,0,0,0,0,0,1,0,0,,0,9,7,0,0,0,1,1,1,1
1,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,,0,14,11,0,0,0,1,1,1,1
5,6,5,217,3,2,0,0,1,0,2,1,0,81,0,1,,0,23,37,156,0,0,1,1,1,1
2,3,3,79,0,0,0,0,0,0,1,0,0,4,0,0,,0,15,21,42,0,0,1,1,1,1
7,7,4,119,1,1,0,0,0,0,4,3,0,1,0,0,,0,26,20,72,0,1,1,1,1,1
1,2,3,33,1,1,0,0,0,0,0,0,0,0,0,0,,0,21,12,0,0,0,1,1,1,1
4,5,4,49,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,36,0,0,0,1,1,1,1
3,4,2,48,0,0,0,0,0,0,1,0,0,6,0,0,,0,23,9,15,0,0,1,1,1,1
2,3,3,34,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,14,0,0,0,1,1,1,1
2,3,2,26,0,0,0,0,0,0,0,0,0,2,0,0,,0,15,11,0,0,0,1,1,1,1
2,3,6,50,0,0,0,0,0,0,0,0,0,0,0,0,,0,14,36,0,1,0,1,1,1,1
2,3,7,263,6,4,0,0,2,0,5,4,0,54,0,1,,0,27,143,92,0,0,1,1,1,1
6,7,3,71,0,0,0,0,0,0,0,0,0,10,0,0,,0,33,38,0,0,0,1,1,1,1
2,3,6,133,1,1,0,1,1,0,0,0,0,48,0,0,,0,21,112,0,0,0,1,1,1,1
2,3,5,45,1,1,0,0,0,0,0,0,0,3,0,0,,0,16,29,0,0,0,1,1,1,1
6,7,3,50,0,0,0,0,0,0,0,0,0,16,0,0,,0,39,11,0,0,0,1,1,1,1
3,4,6,51,0,0,0,0,0,0,0,0,0,0,0,0,,1,16,35,0,0,1,1,1,1,1
3,4,4,35,0,0,0,0,0,0,0,0,0,0,0,0,,0,25,10,0,0,0,1,1,1,1
2,3,5,59,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,44,0,0,0,1,1,1,1
5,2,2,88,0,0,0,0,0,0,1,0,0,5,0,0,,0,10,3,74,0,0,1,1,1,1
2,3,5,43,0,0,0,0,2,0,0,0,0,1,0,0,,0,12,31,0,0,0,1,1,1,1
