NumDots,NumNumericChars,SubdomainLevel,RandomString,UrlLength,QueryLength,PathLevel,NumDashInHostname,HostnameLength,NumDash,NumQueryComponents,HttpsInHostname,IpAddress,NumUnderscore,Label
1,0,2,0,41,0,3,3,13,3,0,0,0,0,0
2,4,3,0,45,0,4,0,10,0,0,0,0,1,0
1,0,2,0,35,0,2,1,21,1,0,0,0,0,0
1,3,2,0,31,13,2,0,11,0,1,0,0,0,0
3,0,4,0,61,20,2,0,25,0,2,0,0,0,0
2,4,3,0,27,0,3,0,14,0,0,0,0,0,0
1,0,2,0,25,0,2,1,24,1,0,0,0,0,0
1,0,2,0,34,0,4,0,15,0,0,0,0,0,0
3,0,4,0,38,0,3,0,19,0,0,0,0,0,0
1,10,2,0,54,0,4,4,10,4,0,0,0,0,0
2,0,3,0,46,0,4,0,20,0,0,0,0,0,0
2,14,3,0,58,25,3,0,17,0,1,0,0,0,0
1,3,2,0,20,0,2,0,19,0,0,0,0,0,0
2,0,3,0,32,0,2,1,11,1,0,0,0,0,0
3,0,4,0,57,0,6,1,17,1,0,0,0,0,0
2,0,3,0,29,0,2,0,16,0,0,0,0,0,0
2,1,3,0,40,13,4,0,9,0,1,0,0,1,0
2,2,3,0,40,0,2,1,23,1,0,0,0,0,0
2,2,3,0,47,31,2,0,14,0,2,0,0,0,0
2,0,3,0,28,5,3,0,17,0,1,0,0,0,0
1,3,2,0,31,13,2,0,11,0,1,0,0,0,0
2,3,3,0,34,0,5,0,15,0,0,0,0,0,0
1,0,2,0,19,0,2,0,18,0,0,0,0,0,0
1,8,2,0,66,0,6,5,16,5,0,0,0,0,0
1,5,2,0,72,0,4,7,11,7,0,0,0,0,0
1,0,2,0,10,0,2,0,9,0,0,0,0,0,0
1,0,2,0,9,0,2,0,8,0,0,0,0,0,0
2,3,3,0,39,0,4,0,8,0,0,0,0,0,0
2,0,3,0,35,0,3,0,18,0,0,0,0,0,0
2,0,3,0,30,0,3,0,12,0,0,0,0,0,0
2,0,3,0,42,0,4,0,16,0,0,0,0,0,0
2,0,3,0,37,0,3,0,16,0,0,0,0,1,0
2,0,3,0,43,0,2,2,19,2,0,0,0,0,0
2,9,3,0,45,0,5,1,16,1,0,0,0,0,0
1,0,2,0,9,0,2,0,8,0,0,0,0,0,0
2,0,3,0,20,0,2,1,19,1,0,0,0,0,0
3,6,4,0,54,0,4,2,22,2,0,0,0,0,0
1,0,2,0,22,0,3,1,9,1,0,0,0,0,0
1,1,2,0,31,13,2,0,11,0,1,0,0,0,0
