NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
2,3,3,49,0,0,0,0,2,0,0,0,0,0,0,0,,0,16,33,0,0,0,1,1,1,0
3,4,2,34,0,0,0,0,0,0,0,0,0,0,0,0,,0,23,11,0,0,0,1,1,1,0
1,2,3,77,7,7,0,0,0,0,0,0,0,4,0,0,,0,21,56,0,0,0,1,1,1,0
1,2,2,10,1,1,0,0,0,0,0,0,0,0,0,0,,0,9,1,0,0,0,1,1,1,0
3,4,2,27,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,9,0,0,0,1,1,1,0
1,2,4,34,2,2,0,0,0,0,0,0,0,4,0,0,,0,23,11,0,0,0,1,1,1,0
3,4,3,61,0,0,0,0,0,0,1,0,0,15,0,0,,0,20,15,25,0,0,1,1,1,0
3,4,3,61,0,0,0,0,0,0,1,0,0,14,0,0,,0,20,15,25,0,0,1,1,1,0
3,4,3,33,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,20,0,0,1,1,1,1,0
1,2,4,113,1,1,0,0,10,0,0,0,0,6,0,0,,0,13,100,0,0,0,1,1,1,0
1,2,4,18,1,1,0,0,0,0,0,0,0,0,0,0,,0,8,10,0,0,0,1,1,1,0
2,3,2,35,0,0,0,0,0,0,0,0,0,0,0,0,,0,34,1,0,0,1,1,1,1,0
3,3,2,58,6,0,0,0,0,0,1,0,0,16,0,0,,0,10,14,33,0,0,1,1,1,0
1,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,7,0,0,1,1,1,1,0
2,3,2,31,1,1,0,0,0,0,0,0,0,0,0,0,,0,13,18,0,0,0,1,1,1,0
2,3,3,46,0,0,0,0,0,0,1,0,0,5,0,0,,0,17,21,7,0,0,1,1,1,0
1,2,3,57,0,0,0,0,0,2,0,0,0,5,0,0,,0,9,48,0,0,0,1,1,1,0
2,3,3,43,0,0,0,0,2,0,0,0,0,3,0,0,,0,11,32,0,0,0,1,1,1,0
3,4,3,33,1,1,0,0,0,0,0,0,0,0,0,0,,0,18,15,0,0,0,1,1,1,0
1,2,2,31,0,0,0,0,0,0,1,0,0,1,0,0,,0,11,6,13,0,0,1,1,1,0
1,2,6,90,6,6,0,0,0,0,0,0,0,13,0,0,,0,12,78,0,0,0,1,1,1,0
2,3,3,81,6,6,0,0,0,0,0,0,0,8,0,0,,0,19,62,0,0,0,1,1,1,0
2,3,2,75,0,0,0,0,1,0,3,4,0,7,0,0,,0,14,10,50,0,0,1,1,1,0
1,2,5,42,0,0,1,0,0,0,0,0,0,20,0,0,,0,10,32,0,0,0,1,1,1,0
2,3,3,27,0,0,0,0,0,0,0,0,0,4,0,0,,0,14,13,0,0,0,1,1,1,0
2,3,2,36,0,0,0,0,0,1,1,0,0,2,0,0,,0,12,9,14,0,0,1,1,1,0
1,2,5,33,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,21,0,0,0,1,1,1,0
1,2,3,52,0,0,0,0,4,0,0,0,0,0,0,0,,0,17,35,0,0,0,1,1,1,0
2,3,3,32,0,0,0,0,1,0,0,0,0,0,0,0,,0,16,16,0,0,0,1,1,1,0
2,3,3,29,1,1,0,0,0,0,0,0,0,0,0,0,,0,13,16,0,0,0,1,1,1,0
2,3,4,57,0,0,0,0,4,0,0,0,0,0,0,0,,0,13,44,0,0,1,1,1,1,0
1,2,2,31,0,0,0,0,0,0,1,0,0,3,0,0,,0,11,6,13,0,0,1,1,1,0
1,2,4,64,4,4,0,0,0,0,0,0,0,10,0,0,,0,10,54,0,0,0,1,1,1,0
1,2,4,43,2,2,0,0,0,0,0,0,0,1,0,0,,0,11,32,0,0,0,1,1,1,0
1,2,6,159,14,14,0,0,0,0,0,0,0,0,0,0,,0,22,137,0,0,0,1,1,1,0
2,3,4,43,2,2,0,0,0,0,0,0,0,0,0,0,,0,10,33,0,0,0,1,1,1,0
1,2,4,36,0,0,0,0,1,0,0,0,0,1,0,0,,0,14,22,0,0,0,1,1,1,0
1,2,6,107,10,10,0,0,0,0,0,0,0,14,0,0,,0,19,88,0,0,0,1,1,1,0
2,3,3,45,0,0,0,0,2,0,0,0,0,0,0,0,,0,19,26,0,0,0,1,1,1,0
1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,6,0,0,0,1,1,1,0
1,2,4,46,1,1,0,0,0,0,0,0,0,9,0,0,,0,12,34,0,0,0,1,1,1,0
2,3,2,28,0,0,0,0,0,0,0,0,0,0,0,0,,0,27,1,0,0,0,1,1,1,0
1,2,4,37,0,0,0,0,1,0,0,0,0,0,0,0,,0,15,22,0,0,0,1,1,1,0
2,3,2,42,0,0,0,0,0,0,2,1,0,7,0,0,,0,16,11,14,0,0,1,1,1,0
2,3,3,51,0,0,0,0,3,0,0,0,0,0,0,0,,0,13,38,0,0,0,1,1,1,0
2,3,2,29,0,0,0,0,0,0,0,0,0,0,0,0,,0,18,11,0,0,0,1,1,1,0
4,5,4,44,0,0,0,1,0,0,0,0,0,0,0,0,,0,20,24,0,0,0,1,1,1,0
2,3,3,84,8,8,0,0,0,0,0,0,0,5,0,0,,0,18,66,0,0,0,1,1,1,0
3,4,5,75,3,3,0,0,0,0,0,0,0,0,0,0,,0,20,55,0,0,1,1,1,1,0
2,3,5,68,0,0,0,0,0,0,0,0,0,7,0,0,,0,19,49,0,0,0,1,1,1,0
1,2,2,31,0,0,0,0,0,0,1,0,0,0,0,0,,0,11,6,13,0,0,1,1,1,0
2,3,4,28,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,12,0,0,0,1,1,1,0
1,2,6,111,0,0,0,0,11,0,0,0,0,0,0,0,,0,12,99,0,0,0,1,1,1,0
2,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,32,0,0,1,1,1,1,0
1,2,3,35,2,2,0,0,0,0,0,0,0,2,0,0,,0,16,19,0,0,0,1,1,1,0
2,3,2,33,0,0,0,0,0,0,0,0,0,0,0,0,,0,32,1,0,0,0,1,1,1,0
2,3,3,26,0,0,0,0,0,0,0,0,0,3,0,0,,0,14,12,0,0,0,1,1,1,0
2,3,4,81,7,7,0,0,0,0,0,0,0,6,0,0,,0,17,64,0,0,0,1,1,1,0
1,2,8,133,17,17,0,0,0,0,0,0,0,14,0,0,,0,25,108,0,0,0,1,1,1,0
